Image Name,Shape,Riming,Melting
2023.02.28_02.15.43_flake_3487_cam_1X496Y548cropped0.png,graupel,graupel_like,dry
20230228153732000CAM2_1X428Y740cropped3.png,planar_crystals,densely_rimed,dry
20230228100711000CAM0_1X388Y620cropped0.png,graupel,densely_rimed,dry
2023.02.28_02.25.50_flake_3783_cam_4X1084Y932cropped0.png,graupel,graupel_like,wet
2023.02.28_02.45.25_flake_4251_cam_3X1100Y1072cropped0.png,graupel,graupel_like,dry
2023.02.28_02.14.13_flake_3441_cam_0X584Y848cropped0.png,graupel,graupel_like,dry
2023.02.28_02.40.09_flake_4147_cam_1X436Y448cropped0.png,graupel,graupel_like,dry
2023.02.28_02.20.16_flake_3610_cam_3X1100Y1552cropped1.png,graupel,graupel_like,dry
20230228154823000CAM4_1X764Y2128cropped4.png,graupel,graupel_like,dry
2023.02.28_03.18.20_flake_4649_cam_4X760Y872cropped0.png,planar_crystals,densely_rimed,dry
2023.02.28_02.21.25_flake_3638_cam_3X1100Y1128cropped0.png,graupel,graupel_like,dry
2023.02.28_02.34.24_flake_4026_cam_4X1756Y2148cropped0.png,graupel,graupel_like,dry
20230228154143000CAM5_1X1200Y1812cropped6.png,graupel,rimed,dry
2023.02.28_02.11.42_flake_3375_cam_2X1088Y1484cropped0.png,graupel,graupel_like,wet
2023.02.28_02.21.18_flake_3635_cam_0X584Y948cropped0.png,graupel,graupel_like,dry
20230228100350000CAM0_1X1424Y1076cropped4.png,graupel,unrimed,dry
2023.02.28_02.25.09_flake_3752_cam_0X836Y776cropped0.png,graupel,graupel_like,dry
2023.02.28_02.09.22_flake_3339_cam_0X484Y740cropped0.png,planar_crystals,densely_rimed,dry
2023.02.28_02.09.04_flake_3334_cam_4X1088Y880cropped0.png,graupel,graupel_like,dry
2023.02.28_02.36.03_flake_4066_cam_4X1104Y556cropped0.png,graupel,graupel_like,dry
2023.02.28_02.31.05_flake_3945_cam_4X1760Y1960cropped1.png,graupel,densely_rimed,dry
20230228101711000CAM6_1X1296Y268cropped6.png,graupel,unrimed,dry
2023.02.28_02.29.38_flake_3898_cam_3X1080Y1852cropped0.png,graupel,graupel_like,dry
20230228101453000CAM6_1X1500Y612cropped8.png,graupel,graupel_like,dry
2023.02.28_02.35.30_flake_4051_cam_0X572Y772cropped0.png,graupel,graupel_like,dry
2023.02.28_02.36.15_flake_4072_cam_1X472Y440cropped0.png,graupel,graupel_like,dry
2023.02.28_02.10.57_flake_3363_cam_1X600Y656cropped0.png,graupel,graupel_like,dry
2023.02.28_02.23.15_flake_3683_cam_3X1016Y1100cropped0.png,graupel,graupel_like,wet
2023.02.28_02.20.59_flake_3628_cam_2X1100Y1644cropped0.png,graupel,graupel_like,dry
2023.02.28_02.21.14_flake_3634_cam_0X660Y836cropped0.png,columnar_crystals,graupel_like,dry
20230228110001000CAM0_1X1824Y160cropped8.png,columnar_crystals,graupel_like,dry
2023.02.28_02.08.56_flake_3331_cam_4X1092Y916cropped0.png,graupel,graupel_like,wet
2023.02.28_02.24.37_flake_3731_cam_1X524Y440cropped0.png,graupel,graupel_like,wet
2023.02.28_02.13.47_flake_3426_cam_3X596Y1060cropped0.png,columnar_crystals,graupel_like,dry
2023.02.28_02.56.43_flake_4463_cam_3X1208Y956cropped0.png,columnar_crystals,graupel_like,dry
2023.02.28_02.26.12_flake_3793_cam_3X1104Y1588cropped0.png,graupel,graupel,dry
2023.02.28_02.33.33_flake_4003_cam_3X1108Y1212cropped2.png,graupel,graupel_like,dry
20230228154042000CAM6_1X408Y1920cropped3.png,graupel,graupel_like,dry
2023.02.28_02.21.04_flake_3629_cam_3X1096Y1356cropped0.png,graupel,graupel_like,dry
2023.02.28_02.20.02_flake_3602_cam_3X1096Y1272cropped1.png,graupel,graupel_like,dry
